,en,es
STORY_EVENT_TITLE_FOUND_VEGETABLES,Found Vegetables,Verduras encontradas
STORY_EVENT_TITLE_FOUND_WOOD,Found Wood,Madera encontrada
STORY_EVENT_TUNDRA_FOUND_NOTHING_CHOICE_ACCEPT,"Nothing but moss here, so the expedition leaves.","Aquí no hay nada más que musgo, así que la expedición se va."
TERRAIN_NAME_COAST,Coast,Costa
TERRAIN_NAME_DESERT,Desert,Desierto
TERRAIN_NAME_FOREST,Forest,Bosque
TERRAIN_NAME_GLACIER,Glacier,Glaciar
TERRAIN_NAME_HILL,Hill,Loma
TERRAIN_NAME_LAKE,Lake,Lago
TERRAIN_NAME_MOUNTAIN,Mountain,Montaña
TERRAIN_NAME_OASIS,Oasis,Oasis
TERRAIN_NAME_PLAIN,Plain,Llanura
TERRAIN_NAME_PLATEAU,Plateau,Meseta
TERRAIN_NAME_RIVER,River,Río
TERRAIN_NAME_RUIN,Ruin,Ruina
TERRAIN_NAME_SWAMP,Swamp,Pantano
TERRAIN_NAME_TUNDRA,Tundra,Tundra
TITLE_AIDE,Aide,Ayudante
TITLE_ARMY_LEADER,Army Leader,Líder del Ejército
TITLE_FACTION_LEADER,Faction Leader,Líder de facción
WORD_ACTIVITY,Activity,Actividad
WORD_AGE,Age,Edad
WORD_ATTRIBUTES,Attributes,Atributos
WORD_BUILD,Build- THIS IS AN ACTIVITY,Construir
WORD_CLOSE,Close,Cerrar
WORD_CONSTRUCT,Construct,Construir
WORD_CONSTRUCTION,Construction,Construcción
WORD_COUNTY,County,Condado
WORD_DAY,Day:,Día
WORD_EXPLORE,Explore- THIS IS AN ACTIVITY,Explorar
WORD_EXPLORED,Explored,Explorado
WORD_FEMALE,Female,Hembra
WORD_GOODS,Goods,Bienes
WORD_HELPFUL,Helpful,Útil
WORD_HIRING,Hiring,Contratación
WORD_IDLE,Idle,Ocioso
WORD_INTEREST,Interest,Interés
WORD_INVENTORY,Inventory,Inventario
WORD_LEARNED,learned,docto
WORD_LOYALTY,Loyalty,Lealtad
WORD_MALE,Male,Masculino
WORD_MISSED,missed,Perdido
WORD_MUSTER,Muster - THIS IS AN ACTIVITY,Patrón
WORD_NAME,Name,Nombre
WORD_NONE,None,Ninguno
WORD_NONPERISHABLE,Nonperishable,No perecedero
WORD_PAUSED,Paused,Pausa
WORD_PERISHABLE,Perishable,Perecedero
WORD_PERKS,Perks,Ventajas
WORD_POPULATION,Population,Población
WORD_PREREQUISITES,Prerequisites,Prerrequisitos
WORD_PRIORITIZE,Prioritize,Priorizar
WORD_RECRUITED,Recruited,Reclutado
WORD_RESEARCH,Research - THIS IS AN ACTIVITY,Investigación
WORD_REWARD,Reward,Recompensa
WORD_SCAVENGE,Scavenge- THIS IS AN ACTIVITY,Recoger la basura
WORD_SEX,Sex,Sexo
WORD_SKILLS,Skills,Habilidades
WORD_SPEED,Speed:,Velocidad
WORD_SUBORDINATES,Subordinates,Subordinados
WORD_TIME,Time:,Hora
WORD_TITLES,Titles,Títulos
WORD_TRAIN,Train - THIS IS AN ACTIVITY,Tren
WORD_VISITORS,Visitors,Visitantes
WORD_WORK,Work- THIS IS AN ACTIVITY,Trabajo
GOOD_RAW_MATERIALS,Raw Materials,Materias primas
GOOD_DESCRIPTION_RAW_MATERIALS,The base materials used to create other things.,Los materiales base utilizados para crear otras cosas.
WORD_OPTIONS,Options,Opciones
WORD_SAVE,Save,Salvar
WORD_LOAD,Load,Carga
PHRASE_DEVELOPER_OPTIONS,Developer Options,Opciones de desarrollador
